label,start_datetime,end_datetime,room_capacity,room_name,course_name,course_code
projet,2024-03-06 12:00:00,2024-03-06 14:00:00,114.0,CM1105,Conception de mécanismes II,MICRO-201
projet,2024-03-13 12:00:00,2024-03-13 14:00:00,41.0,CO6,Conception de mécanismes II,MICRO-201
cours,2024-03-20 10:00:00,2024-03-20 12:00:00,184.0,CM11,Conception de mécanismes II,MICRO-201
cours,2024-03-27 10:00:00,2024-03-27 12:00:00,184.0,CM11,Conception de mécanismes II,MICRO-201
cours,2024-04-24 10:00:00,2024-04-24 12:00:00,184.0,CM11,Conception de mécanismes II,MICRO-201
projet,2024-05-01 12:00:00,2024-05-01 14:00:00,41.0,CO6,Conception de mécanismes II,MICRO-201
cours,2024-05-08 10:00:00,2024-05-08 12:00:00,114.0,CM1105,Conception de mécanismes II,MICRO-201
cours,2024-05-15 10:00:00,2024-05-15 12:00:00,114.0,CM1105,Conception de mécanismes II,MICRO-201
cours,2024-05-22 10:00:00,2024-05-22 12:00:00,49.0,CM1104,Conception de mécanismes II,MICRO-201
cours,2024-05-22 10:00:00,2024-05-22 12:00:00,114.0,CM1105,Conception de mécanismes II,MICRO-201
exercice,2024-03-27 10:00:00,2024-03-27 12:00:00,99.0,CE1106,Stochastic processes,MATH-332
cours,2024-05-06 13:00:00,2024-05-06 15:00:00,98.0,CE15,Stochastic processes,MATH-332
cours,2024-03-22 13:00:00,2024-03-22 16:00:00,60.0,AAC120,UE M : Constructing materials,AR-519
cours,2024-03-04 13:00:00,2024-03-04 15:00:00,144.0,AAC231,Signal processing for communications,COM-303
exercice,2024-03-14 14:00:00,2024-03-14 16:00:00,86.0,INM202,Signal processing for communications,COM-303
cours,2024-04-16 10:00:00,2024-04-16 12:00:00,190.0,CM13,Signal processing for communications,COM-303
exercice,2024-04-18 14:00:00,2024-04-18 16:00:00,36.0,INM201,Signal processing for communications,COM-303
cours,2024-04-23 10:00:00,2024-04-23 12:00:00,190.0,CM13,Signal processing for communications,COM-303
exercice,2024-05-02 14:00:00,2024-05-02 16:00:00,86.0,INM202,Signal processing for communications,COM-303
exercice,2024-02-23 17:00:00,2024-02-23 18:00:00,68.0,CHB330,Eléments de cheminformatique,CH-352
exercice,2024-03-22 17:00:00,2024-03-22 18:00:00,68.0,CHB330,Eléments de cheminformatique,CH-352
exercice,2024-05-24 17:00:00,2024-05-24 18:00:00,68.0,CHB330,Eléments de cheminformatique,CH-352
cours,2024-05-31 15:00:00,2024-05-31 17:00:00,68.0,CHB330,Eléments de cheminformatique,CH-352
exercice,2024-03-07 10:00:00,2024-03-07 12:00:00,129.0,CM15,Optimal decision making,MGT-483
cours,2024-02-27 13:00:00,2024-02-27 15:00:00,70.0,CE1104,Psychologie des émotions,HUM-239
cours,2024-05-14 13:00:00,2024-05-14 15:00:00,70.0,CE1104,Psychologie des émotions,HUM-239
cours,2024-03-04 13:00:00,2024-03-04 15:00:00,112.0,SG0211,Synthetic biology,BIOENG-320
cours,2024-03-25 13:00:00,2024-03-25 15:00:00,112.0,SG0211,Synthetic biology,BIOENG-320
exercice,2024-05-30 09:00:00,2024-05-30 11:00:00,78.0,ELD020,Synthetic biology,BIOENG-320
exercice,2024-02-19 18:00:00,2024-02-19 19:00:00,50.0,GRA331,Urban public transport systems,CIVIL-324
cours,2024-02-26 16:00:00,2024-02-26 18:00:00,50.0,GRA331,Urban public transport systems,CIVIL-324
projet,2024-03-27 16:00:00,2024-03-27 19:00:00,64.0,CM1221,Emotion and value II,HUM-479
projet,2024-05-22 16:00:00,2024-05-22 19:00:00,64.0,CM1221,Emotion and value II,HUM-479
cours,2024-03-11 14:00:00,2024-03-11 16:00:00,68.0,CHB330,Chemistry of f elements,CH-427
exercice,2024-02-23 14:00:00,2024-02-23 16:00:00,94.0,MEB331,Principles of digital communications,COM-302
exercice,2024-03-01 14:00:00,2024-03-01 16:00:00,94.0,MEB331,Principles of digital communications,COM-302
cours,2024-03-27 13:00:00,2024-03-27 16:00:00,94.0,MEB331,Principles of digital communications,COM-302
cours,2024-04-19 13:00:00,2024-04-19 14:00:00,94.0,MEB331,Principles of digital communications,COM-302
cours,2024-05-01 13:00:00,2024-05-01 16:00:00,94.0,MEB331,Principles of digital communications,COM-302
exercice,2024-05-31 14:00:00,2024-05-31 16:00:00,94.0,MEB331,Principles of digital communications,COM-302
exercice,2024-03-20 14:00:00,2024-03-20 17:00:00,,ELD040,TP en conversion d'énergie,EE-390(b)
exercice,2024-04-17 14:00:00,2024-04-17 17:00:00,,ELD040,TP en conversion d'énergie,EE-390(b)
exercice,2024-05-01 14:00:00,2024-05-01 17:00:00,,ELD040,TP en conversion d'énergie,EE-390(b)
cours,2024-02-19 13:00:00,2024-02-19 15:00:00,348.0,SG1138,Analysis IV,MATH-207(c)
exercice,2024-02-27 13:00:00,2024-02-27 15:00:00,114.0,CM1105,Analysis IV,MATH-207(c)
exercice,2024-03-12 13:00:00,2024-03-12 15:00:00,114.0,CM1105,Analysis IV,MATH-207(c)
cours,2024-04-08 13:00:00,2024-04-08 15:00:00,348.0,SG1138,Analysis IV,MATH-207(c)
exercice,2024-04-09 13:00:00,2024-04-09 15:00:00,48.0,CM010,Analysis IV,MATH-207(c)
cours,2024-04-22 13:00:00,2024-04-22 15:00:00,348.0,SG1138,Analysis IV,MATH-207(c)
exercice,2024-05-07 13:00:00,2024-05-07 15:00:00,49.0,CM1104,Analysis IV,MATH-207(c)
exercice,2024-05-14 13:00:00,2024-05-14 15:00:00,49.0,CM1104,Analysis IV,MATH-207(c)
exercice,2024-05-21 13:00:00,2024-05-21 15:00:00,49.0,CM1104,Analysis IV,MATH-207(c)
projet,2024-02-21 12:00:00,2024-02-21 14:00:00,32.0,CO4,Conception de mécanismes II,MICRO-201
projet,2024-03-06 12:00:00,2024-03-06 14:00:00,32.0,CO4,Conception de mécanismes II,MICRO-201
